Id;Code;Wert;Beschreibung
1;1;Anfänger;
2;2;Fortgeschrittene;
3;3;Experte;
4;4;A1;
5;5;A2;
6;6;B1;
7;7;B2;
8;8;C1;
9;9;C2;
10;10;Aargauer Raster -E;
11;11;Keine oder wenig Kenntnisse in Lesen und Schreiben;
12;12;Kenntnisse der lateinischen Schrift;
