Id;Code;Wert;Beschreibung
1;1;Sprache schreiben;
2;2;Sprache lesen;
3;3;Vorbereitung aufs Berufleben;
4;4;Vorbereitung für berufliche Grundbildung;
5;5;Vorbereitung für die Ausbildung;
6;6;Vorbereitung für die Weiterbildung;
7;7;In der Sprache Konversation durchführen;
8;8;Soziale Integration;
9;9;Hören, Verstehen, Sprechen;
10;10;Alltagswissen;
11;11;Grammatik;
12;12;Schweizer Kultur;
