Id;Code;Wert;Beschreibung
1;1;Aarau;
2;2;Baden;
3;3;Bremgarten;
4;4;Buchs;
5;5;Dottikon;
6;6;Hunzenschwil;
7;7;Lenzburg;
8;8;Magden;
9;9;Mellingen;
10;10;Neuenhof;
11;11;Oftringen;
12;12;Reinach;
13;13;Rheinfelden;
14;14;Seon;
15;15;Spreitenbach;
16;16;Suhr;
17;17;Turgi;
18;18;Unterkulm;
19;19;Untersiggenthal;
20;20;Vilmergen;
21;21;Wettingen;
22;22;Windisch;
23;23;Wittnau;
24;24;Wohlen;
25;25;Würenlingen;
26;26;Zofingen;
